ID_Frase,Frase_Original,N_Perturbacoes,Estabilidade_Jaccard,Top_Palavras,Explicacao_SLM
5,Gostei muito! Chegou rápido! Exatamente o produto demostrado nas imagens para compra.,50,0.14285714285714285,"[np.str_('rápido'), np.str_('Gostei'), np.str_('imagens'), np.str_('muito')]","Com base nos pesos calculados pelo LIME, o modelo considerou que a frase é positiva porque as palavras ""rápido"" e ""Gostei"" têm pesos positivos, indicando sentimentos positivos. No entanto, a palavra ""imagens"" tem um peso negativo, sugerindo que as imagens não corresponderam às expectativas. Apesar disso, os pesos positivos de ""rápido"" e ""Gostei"" são mais influentes, levando o modelo a classificar o sentimento da frase como positivo."
5,Gostei muito! Chegou rápido! Exatamente o produto demostrado nas imagens para compra.,100,1.0,"[np.str_('rápido'), np.str_('Gostei'), np.str_('muito'), np.str_('imagens')]","Com base nos pesos calculados pelo LIME, o modelo considerou que a frase é positiva porque as palavras ""rápido"" e ""Gostei"" têm pesos positivos, indicando sentimentos positivos. No entanto, a palavra ""imagens"" tem um peso negativo, sugerindo que as imagens do produto não corresponderam às expectativas, mas esse efeito é menor que os pesos positivos das outras palavras. Portanto, a frase foi classificada como positiva devido à predominância dos sentimentos positivos expressos."
5,Gostei muito! Chegou rápido! Exatamente o produto demostrado nas imagens para compra.,200,1.0,"[np.str_('rápido'), np.str_('Gostei'), np.str_('muito'), np.str_('imagens')]","Com base nos pesos calculados pelo LIME, o modelo considerou que a frase é positiva porque as palavras ""rápido"", ""Gostei"", e ""muito"" têm pesos positivos, indicando sentimentos positivos. No entanto, a palavra ""imagens"" tem um peso negativo, sugerindo que as imagens não corresponderam às expectativas, mas o impacto desse peso negativo foi menor que os positivos das outras palavras, resultando numa classificação geral positiva."
5,Gostei muito! Chegou rápido! Exatamente o produto demostrado nas imagens para compra.,500,1.0,"[np.str_('rápido'), np.str_('Gostei'), np.str_('imagens'), np.str_('muito')]","Com base nos pesos calculados pelo LIME, podemos ver que as palavras ""rápido"" e ""Gostei"" têm pesos positivos significativos, indicando que essas palavras contribuíram positivamente para a classificação da frase como positiva. Por outro lado, a palavra ""imagens"" tem um peso negativo, sugerindo que ela teve um pequeno efeito negativo. No entanto, as palavras com pesos positivos são mais influentes, fazendo com que o modelo decida que a frase é geralmente positiva."
5,Gostei muito! Chegou rápido! Exatamente o produto demostrado nas imagens para compra.,1000,1.0,"[np.str_('rápido'), np.str_('Gostei'), np.str_('imagens'), np.str_('muito')]","Com base nos pesos calculados pelo LIME, podemos ver que as palavras ""rápido"" e ""Gostei"" têm pesos positivos significativos, indicando que essas palavras contribuíram positivamente para a classificação da frase como positiva. Por outro lado, a palavra ""imagens"" tem um peso negativo, sugerindo que ela teve um pequeno efeito negativo. No entanto, as palavras com pesos positivos são mais influentes, fazendo com que a frase seja classificada como positiva."
6,Material recebido dentro dos padrões apresentados .  Qualidade e acabamento perfeito.,10,0.0,"[np.str_('perfeito'), np.str_('Material'), np.str_('padrões'), np.str_('dos')]","Com base nos pesos atribuídos pelas palavras na frase, o modelo entende que a avaliação geral é positiva. Isso se deve principalmente à palavra ""perfeito"", que tem um peso positivo de 0.0289, indicando que essa palavra tem um forte impacto positivo na classificação. Embora a palavra ""Material"" tenha um peso negativo, de -0.0181, os pesos das palavras ""padrões"" e ""dos"" são levemente positivos, contribuindo ligeiramente para a classificação positiva. Portanto, a frase é classificada como positiva devido à ênfase em qualidade e perfeição."
6,Material recebido dentro dos padrões apresentados .  Qualidade e acabamento perfeito.,50,0.3333333333333333,"[np.str_('perfeito'), np.str_('Material'), np.str_('Qualidade'), np.str_('dentro')]","Com base nos pesos atribuídos pelas palavras na frase, o modelo entende que a avaliação geral é positiva. Isso ocorre porque as palavras ""perfeito"" e ""Qualidade"" têm pesos positivos, indicando aprovação. Embora a palavra ""Material"" tenha um peso negativo, o peso de ""perfeito"" é mais forte, puxando a classificação para o lado positivo. Portanto, o modelo conclui que a frase expressa um sentimento positivo sobre o material recebido."
6,Material recebido dentro dos padrões apresentados .  Qualidade e acabamento perfeito.,100,1.0,"[np.str_('perfeito'), np.str_('Material'), np.str_('Qualidade'), np.str_('dentro')]","Com base nos pesos calculados pelo LIME, podemos ver que a palavra ""perfeito"" tem o maior impacto positivo na frase, com um peso de 0.0710. Embora a palavra ""Material"" tenha um peso negativo (-0.0465), as palavras ""Qualidade"" e ""dentro"" tenham pesos levemente positivos, o termo ""perfeito"" é decisivo. Isso sugere que o modelo considera a frase como positiva, pois a ideia de perfeição é muito forte e positiva, superando o leve desapontamento sinalizado pelo termo ""Material""."
6,Material recebido dentro dos padrões apresentados .  Qualidade e acabamento perfeito.,200,1.0,"[np.str_('perfeito'), np.str_('Material'), np.str_('Qualidade'), np.str_('dentro')]","Com base nos pesos atribuídos pelas palavras na frase, o modelo entende que a avaliação geral é positiva. Isso se deve principalmente à palavra ""perfeito"", que tem um peso positivo de 0.0696, indicando que a perfeição mencionada tem um forte impacto positivo. Embora a palavra ""Material"" tenha um peso negativo de -0.0500, as palavras ""Qualidade"" e ""dentro"" também contribuem ligeiramente para a classificação positiva, com pesos de 0.0365 e 0.0263, respectivamente. Portanto, a frase é classificada como positiva devido à predominância de palavras com pesos positivos."
6,Material recebido dentro dos padrões apresentados .  Qualidade e acabamento perfeito.,500,1.0,"[np.str_('perfeito'), np.str_('Material'), np.str_('Qualidade'), np.str_('dentro')]","Com base nos pesos atribuídos pelas palavras na frase, o modelo entende que a avaliação geral é positiva. Isso ocorre porque as palavras ""perfeito"" e ""Qualidade"" têm pesos positivos, indicando aprovação. Embora a palavra ""Material"" tenha um peso negativo, o peso de ""perfeito"" é mais forte, puxando a classificação para o lado positivo. Portanto, o modelo conclui que a frase expressa um sentimento positivo sobre o material recebido."
6,Material recebido dentro dos padrões apresentados .  Qualidade e acabamento perfeito.,1000,1.0,"[np.str_('perfeito'), np.str_('Material'), np.str_('Qualidade'), np.str_('dentro')]","Com base nos pesos calculados pelo LIME, podemos ver que a palavra ""perfeito"" tem o maior peso positivo, indicando que essa palavra tem um grande impacto positivo no sentimento da frase. Embora a palavra ""Material"" tenha um peso negativo, os pesos das palavras ""Qualidade"" e ""dentro"" são levemente positivos e são menores que o peso de ""perfeito"". Portanto, a frase foi classificada como positiva, pois a ideia de perfeição predominou nas palavras mais importantes para o modelo."
7,"Comprei esse kit e era para ser entregue dia 23/2 e até agora não recebi e não consigo entrar em contato com as americanas, estou muito chateada com a falta de compromisso dessa empresa, espero receber um parecer da empresa pois estou precisando do produto.",10,0.0,"[np.str_('não'), np.str_('kit'), np.str_('esse'), np.str_('parecer')]","Com base nos pesos atribuídos pelas palavras, o modelo entende que a frase tem um sentimento negativo. Isso ocorre porque palavras como ""não"" e ""kit"" têm pesos negativos, indicando que essas palavras contribuem para o sentimento negativo da frase. A ausência de pesos positivos significativos, além desses pesos negativos, sugere que o usuário está expressando insatisfação e descontentamento com a situação."
7,"Comprei esse kit e era para ser entregue dia 23/2 e até agora não recebi e não consigo entrar em contato com as americanas, estou muito chateada com a falta de compromisso dessa empresa, espero receber um parecer da empresa pois estou precisando do produto.",50,0.14285714285714285,"[np.str_('não'), np.str_('receber'), np.str_('agora'), np.str_('compromisso')]","Com base nos pesos atribuídos pelas palavras, o modelo entende que a frase expressa sentimentos negativos. Isso ocorre porque palavras como ""não"" (peso -0.1757) e ""receber"" (peso -0.0498) têm pesos negativos, indicando que a falta de recebimento e a impossibilidade de contato são fatores importantes na classificação negativa. Embora a palavra ""compromisso"" tenha um peso positivo leve (0.0266), as outras palavras têm pesos mais significativos, puxando a classificação para o sentimento negativo."
7,"Comprei esse kit e era para ser entregue dia 23/2 e até agora não recebi e não consigo entrar em contato com as americanas, estou muito chateada com a falta de compromisso dessa empresa, espero receber um parecer da empresa pois estou precisando do produto.",100,0.14285714285714285,"[np.str_('não'), np.str_('até'), np.str_('recebi'), np.str_('Comprei')]","Com base nos pesos calculados pelo LIME, podemos ver que a frase expressa sentimentos negativos. Palavras como ""não"" e ""até agora"" têm pesos negativos significativos, indicando que o usuário não recebeu o produto no prazo esperado e está inquieta. Esses pesos sugestionam que o modelo classificou a frase como negativa devido à falta de satisfação com a entrega e o descontentamento com a empresa."
7,"Comprei esse kit e era para ser entregue dia 23/2 e até agora não recebi e não consigo entrar em contato com as americanas, estou muito chateada com a falta de compromisso dessa empresa, espero receber um parecer da empresa pois estou precisando do produto.",200,0.3333333333333333,"[np.str_('não'), np.str_('falta'), np.str_('era'), np.str_('recebi')]","Com base nos pesos calculados pelo LIME, podemos ver que a frase expressa sentimentos negativos. Palavras como ""não"" e ""falta"" têm pesos negativos significativos, indicando que a ausência de algo e a falta de compromisso são pontos importantes na frase. Esses fatores pesam na classificação geral como negativa, refletindo a frustração da usuária com a situação."
7,"Comprei esse kit e era para ser entregue dia 23/2 e até agora não recebi e não consigo entrar em contato com as americanas, estou muito chateada com a falta de compromisso dessa empresa, espero receber um parecer da empresa pois estou precisando do produto.",500,0.6,"[np.str_('não'), np.str_('contato'), np.str_('era'), np.str_('recebi')]","Com base nos pesos calculados pelo LIME, podemos ver que a frase expressa sentimentos negativos, principalmente devido à palavra ""não"", que tem o peso mais baixo (-0.1758), indicando frustração. As outras palavras com pesos negativos, como ""contato"" e ""recebi"", reforçam essa impressão, sugerindo que o usuário está incomodada com a falta de resposta e atraso na entrega. Portanto, o modelo classificou essa frase como negativa devido a esses elementos que expressam descontentamento e impaciência."
7,"Comprei esse kit e era para ser entregue dia 23/2 e até agora não recebi e não consigo entrar em contato com as americanas, estou muito chateada com a falta de compromisso dessa empresa, espero receber um parecer da empresa pois estou precisando do produto.",1000,0.6,"[np.str_('não'), np.str_('contato'), np.str_('falta'), np.str_('recebi')]","Com base nos pesos calculados pelo LIME, podemos ver que a frase expressa sentimentos negativos. Palavras como ""não"" e ""falta"" têm pesos negativos significativos, indicando que a ausência de algo ou a negação são fatores importantes na classificação. Isso sugere que o modelo considera essas palavras como indicativas de uma percepção negativa, contribuindo para a classificação geral como negativa."
8,"A tábua de passar tem um tamanho ótimo, compacto.  Ela é resistente e bonita.",10,0.0,"[np.str_('ótimo'), np.str_('resistente'), np.str_('um'), np.str_('tamanho')]","Com base nos pesos calculados pelo LIME, o modelo considerou que a frase é positiva porque as palavras ""ótimo"" e ""resistente"" têm pesos positivos, indicando sentimentos positivos. A palavra ""um"" tem um peso negativo leve, mas não é suficiente para influenciar a classificação final, já que as palavras positivas têm pesos mais significativos. Portanto, a frase foi classificada como positiva devido à predominância de palavras com sentimentos positivos."
8,"A tábua de passar tem um tamanho ótimo, compacto.  Ela é resistente e bonita.",50,0.3333333333333333,"[np.str_('ótimo'), np.str_('resistente'), np.str_('bonita'), np.str_('de')]","Com base nos pesos calculados pelo LIME, podemos ver que as palavras ""ótimo"", ""resistente"" e ""bonita"" são as mais importantes na frase. Essas palavras têm pesos positivos, o que sugere que elas contribuem para um sentimento positivo. A única palavra com peso negativo é ""de"", que tem um peso muito baixo e não influencia significativamente a decisão. Portanto, o modelo conclui que a frase é positiva, pois as palavras mais relevantes são todas de um bom humor."
8,"A tábua de passar tem um tamanho ótimo, compacto.  Ela é resistente e bonita.",100,1.0,"[np.str_('ótimo'), np.str_('resistente'), np.str_('de'), np.str_('bonita')]","Com base nos pesos calculados pelo LIME, o modelo considerou que a frase é positiva porque as palavras ""ótimo"" e ""resistente"" têm pesos positivos significativos (0.0686 e 0.0218, respectivamente), indicando que essas características positivas têm um grande impacto na classificação. A palavra ""bonita"" também contribui ligeiramente positivamente, enquanto ""de"" não afeta a classificação, pois tem um peso muito baixo. Essas palavras positivas predominam, levando o modelo a classificar a frase como positiva."
8,"A tábua de passar tem um tamanho ótimo, compacto.  Ela é resistente e bonita.",200,1.0,"[np.str_('ótimo'), np.str_('resistente'), np.str_('bonita'), np.str_('de')]","Com base nos pesos calculados pelo LIME, podemos ver que as palavras ""ótimo"", ""resistente"" e ""bonita"" são as mais importantes na frase. O peso positivo de ""ótimo"" (0.0686) indica que essa palavra tem um forte impacto positivo, enquanto ""resistente"" e ""bonita"" também contribuem ligeiramente para um sentimento positivo (0.0181 e 0.0144, respectivamente). A única palavra com peso negativo é ""de"", que tem um impacto muito pequeno (-0.0127). Portanto, a combinação desses pesos positivos sugere que o modelo classificou essa frase como positiva."
